Rank   | Player                               |      Elo | Games
--------------------------------------------------------------
1      | John Lennon                          |   2166.7 | 164
2      | Folger Pyles                         |   2129.4 | 158
3      | Conan Jennings                       |   2097.4 | 145
4      | Derek Apsche                         |   2082.5 | 140
5      | Samuel Pope                          |   2073.1 | 136
6      | Nassim Fouchane                      |   2056.3 | 205
7      | Brian Daugherty                      |   2054.2 | 123
8      | liam Vsl                             |   2047.0 | 176
9      | Innes Wilson                         |   2043.9 | 275
10     | Josh Roberts                         |   2027.2 | 180
11     | Jack Harpster                        |   2024.1 | 165
12     | Zach Point                           |   2019.4 | 182
13     | Steve Trimble                        |   1990.1 | 150
14     | Björn Eriksson                       |   1980.8 | 124
15     | Durante "Glynisir" Bozzini           |   1980.4 | 94
16     | Gustavo José Branco Varandas de Sou… |   1972.5 | 95
17     | Olivier WEISS                        |   1970.4 | 82
18     | Wesley St. Hines                     |   1963.5 | 54
19     | Max Berlove                          |   1958.0 | 114
20     | Cody Jiru                            |   1954.0 | 124
21     | Martyn Cooper                        |   1953.4 | 83
22     | Nick Jagiello                        |   1951.8 | 155
23     | Andy Quas-Cohen                      |   1949.6 | 113
24     | John Winter Russell                  |   1948.6 | 148
25     | Mark Hertel                          |   1945.0 | 223
26     | Colin Kay                            |   1944.5 | 139
27     | Nathan Roberts                       |   1938.6 | 132
28     | Jeremy Atkinson                      |   1938.4 | 154
29     | Seth Piper                           |   1936.3 | 85
30     | Junior Aflleje                       |   1934.4 | 132
31     | Jeffrey Kolodner                     |   1931.8 | 208
32     | Luis Stiemerling                     |   1931.8 | 120
33     | Niklas Frerichs                      |   1926.9 | 110
34     | Travis King                          |   1926.5 | 62
35     | David Gaylard                        |   1925.9 | 126
36     | Mani Cheema                          |   1918.2 | 126
37     | Noah Neundorfer                      |   1916.7 | 122
38     | Alban de Polignac                    |   1916.5 | 39
39     | Brad Chester                         |   1916.0 | 154
40     | Tucker Rickey                        |   1915.4 | 96
41     | Jason McKenzie                       |   1914.0 | 142
42     | Justin Moore                         |   1913.4 | 193
43     | TJ Lanigan                           |   1911.7 | 213
44     | Dustin Hammond                       |   1910.6 | 85
45     | Mike Muzeni                          |   1909.7 | 123
46     | Ed Watts                             |   1909.2 | 187
47     | Tim Schneider                        |   1903.8 | 85
48     | Martin Bræmer Nielsen                |   1903.6 | 87
49     | Richard Siegler                      |   1901.9 | 80
50     | Ben Jurek                            |   1901.3 | 279
51     | Nick Nanavati                        |   1900.2 | 132
52     | Boris Michev                         |   1899.5 | 75
53     | Terroxer El Rojo                     |   1896.9 | 111
54     | Kyle Grundy                          |   1894.4 | 191
55     | Jack Murphy                          |   1891.8 | 147
56     | Alex Fowler                          |   1890.8 | 158
57     | Drew Salzborn                        |   1889.3 | 186
58     | Emil Söderholm                       |   1889.2 | 88
59     | Jesper Unander-Scharin               |   1889.1 | 126
